center: (475.0, 425.0), radius_x: 125.0, radius_y: 125.0, count: 292, B: 98.38498925300303, logLR = 134.2342935183023
center: (475.0, 425.0), radius_x: 125.0, radius_y: 175.0, count: 431, B: 137.73898495420423, logLR = 222.7679981236356
center: (475.0, 425.0), radius_x: 125.0, radius_y: 225.0, count: 488, B: 177.09298065540546, logLR = 211.86450883340132
center: (475.0, 425.0), radius_x: 125.0, radius_y: 275.0, count: 532, B: 216.44697635660665, logLR = 192.54404326993807
center: (475.0, 425.0), radius_x: 125.0, radius_y: 325.0, count: 560, B: 255.80097205780788, logLR = 162.74977850937586
center: (475.0, 425.0), radius_x: 125.0, radius_y: 375.0, count: 586, B: 295.1549677590091, logLR = 137.34978763833897
center: (475.0, 425.0), radius_x: 125.0, radius_y: 425.0, count: 629, B: 334.5089634602103, logLR = 130.37130365001525
center: (475.0, 425.0), radius_x: 175.0, radius_y: 125.0, count: 364, B: 137.73898495420423, logLR = 141.78600280341087
center: (475.0, 425.0), radius_x: 175.0, radius_y: 175.0, count: 535, B: 192.83457893588593, logLR = 238.36080384526292
center: (475.0, 425.0), radius_x: 175.0, radius_y: 225.0, count: 593, B: 247.9301729175676, logLR = 208.44831686462635
center: (475.0, 425.0), radius_x: 175.0, radius_y: 275.0, count: 637, B: 303.0257668992493, logLR = 174.48013517361306
center: (475.0, 425.0), radius_x: 175.0, radius_y: 325.0, count: 666, B: 358.12136088093104, logLR = 136.12060049712517
center: (475.0, 425.0), radius_x: 225.0, radius_y: 125.0, count: 418, B: 177.09298065540546, logLR = 134.71558856542555
center: (475.0, 425.0), radius_x: 225.0, radius_y: 175.0, count: 588, B: 247.9301729175676, logLR = 203.02347944339488
center: (475.0, 425.0), radius_x: 225.0, radius_y: 225.0, count: 646, B: 318.76736517972984, logLR = 163.13661297704436
center: (475.0, 425.0), radius_x: 225.0, radius_y: 275.0, count: 698, B: 389.6045574418919, logLR = 130.15466581719397
center: (475.0, 425.0), radius_x: 275.0, radius_y: 175.0, count: 629, B: 303.0257668992493, logLR = 166.86053756889282
center: (475.0, 425.0), radius_x: 275.0, radius_y: 225.0, count: 695, B: 389.6045574418919, logLR = 127.77889353747014
center: (475.0, 425.0), radius_x: 325.0, radius_y: 175.0, count: 668, B: 358.1213608809311, logLR = 137.7804092363403
center: (475.0, 425.0), radius_x: 375.0, radius_y: 175.0, count: 725, B: 413.2169548626127, logLR = 128.60525655683358
center: (475.0, 475.0), radius_x: 75.0, radius_y: 75.0, count: 207, B: 35.418596131081095, logLR = 201.58211560755728
center: (475.0, 475.0), radius_x: 75.0, radius_y: 125.0, count: 291, B: 59.030993551801814, logLR = 246.6778898753522
center: (475.0, 475.0), radius_x: 75.0, radius_y: 175.0, count: 319, B: 82.64339097252255, logLR = 209.68448855291328
center: (475.0, 475.0), radius_x: 75.0, radius_y: 225.0, count: 350, B: 106.25578839324326, logLR = 189.86412246278547
center: (475.0, 475.0), radius_x: 75.0, radius_y: 275.0, count: 369, B: 129.86818581396398, logLR = 162.1650607027197
center: (475.0, 475.0), radius_x: 75.0, radius_y: 325.0, count: 385, B: 153.48058323468473, logLR = 137.689419113926
center: (475.0, 475.0), radius_x: 75.0, radius_y: 375.0, count: 404, B: 177.09298065540546, logLR = 121.0101632591024
center: (475.0, 475.0), radius_x: 125.0, radius_y: 75.0, count: 288, B: 59.030993551801814, logLR = 241.5290437844966
center: (475.0, 475.0), radius_x: 125.0, radius_y: 125.0, count: 422, B: 98.38498925300303, logLR = 320.0638905297595
center: (475.0, 475.0), radius_x: 125.0, radius_y: 175.0, count: 463, B: 137.73898495420423, logLR = 266.2331081895567
center: (475.0, 475.0), radius_x: 125.0, radius_y: 225.0, count: 504, B: 177.09298065540546, logLR = 231.4136015424549
center: (475.0, 475.0), radius_x: 125.0, radius_y: 275.0, count: 536, B: 216.44697635660665, logLR = 196.93906081581184
center: (475.0, 475.0), radius_x: 125.0, radius_y: 325.0, count: 566, B: 255.80097205780788, logLR = 168.64325910884048
center: (475.0, 475.0), radius_x: 125.0, radius_y: 375.0, count: 598, B: 295.1549677590091, logLR = 147.99289583297298
center: (475.0, 475.0), radius_x: 125.0, radius_y: 425.0, count: 629, B: 334.5089634602103, logLR = 130.37130365001525
center: (475.0, 475.0), radius_x: 125.0, radius_y: 475.0, count: 674, B: 373.8629591614115, logLR = 126.5998389853695
center: (475.0, 475.0), radius_x: 175.0, radius_y: 75.0, count: 350, B: 82.64339097252255, logLR = 257.3731585477637
center: (475.0, 475.0), radius_x: 175.0, radius_y: 125.0, count: 504, B: 137.73898495420423, logLR = 326.1111916168053
center: (475.0, 475.0), radius_x: 175.0, radius_y: 175.0, count: 551, B: 192.83457893588593, logLR = 258.36443945792826
center: (475.0, 475.0), radius_x: 175.0, radius_y: 225.0, count: 594, B: 247.9301729175676, logLR = 209.5404804477206
center: (475.0, 475.0), radius_x: 175.0, radius_y: 275.0, count: 624, B: 303.0257668992493, logLR = 162.17354818210572
center: (475.0, 475.0), radius_x: 175.0, radius_y: 325.0, count: 671, B: 358.12136088093104, logLR = 140.28696370076239
center: (475.0, 475.0), radius_x: 225.0, radius_y: 75.0, count: 380, B: 106.25578839324326, logLR = 231.27742092001313
center: (475.0, 475.0), radius_x: 225.0, radius_y: 125.0, count: 539, B: 177.09298065540546, logLR = 276.5248093408458
center: (475.0, 475.0), radius_x: 225.0, radius_y: 175.0, count: 589, B: 247.9301729175676, logLR = 204.10364165678595
center: (475.0, 475.0), radius_x: 225.0, radius_y: 225.0, count: 644, B: 318.76736517972984, logLR = 161.29644206923393
center: (475.0, 475.0), radius_x: 225.0, radius_y: 275.0, count: 699, B: 389.6045574418919, logLR = 130.9509897687082
center: (475.0, 475.0), radius_x: 275.0, radius_y: 75.0, count: 403, B: 129.86818581396398, logLR = 204.19081388000808
center: (475.0, 475.0), radius_x: 275.0, radius_y: 125.0, count: 564, B: 216.44697635660665, logLR = 228.83492007641775
center: (475.0, 475.0), radius_x: 275.0, radius_y: 175.0, count: 624, B: 303.0257668992493, logLR = 162.17354818210572
center: (475.0, 475.0), radius_x: 275.0, radius_y: 225.0, count: 698, B: 389.6045574418919, logLR = 130.15466581719397
center: (475.0, 475.0), radius_x: 325.0, radius_y: 75.0, count: 424, B: 153.48058323468473, logLR = 181.15784471684358
center: (475.0, 475.0), radius_x: 325.0, radius_y: 125.0, count: 594, B: 255.8009720578079, logLR = 197.30949263669385
center: (475.0, 475.0), radius_x: 325.0, radius_y: 175.0, count: 667, B: 358.1213608809311, logLR = 136.9493809897317
